iteration,best_cost,incumbent_cost
767,26341721,26421487
768,26341721,26421487
769,26098070,26098070
770,26015567,26015567
771,26015567,26015567
772,25584499,25584499
773,25584499,25624430
774,25584499,25587364
775,25584499,25587364
776,25557296,25557296
777,25530356,25530356
778,25530356,25530357
779,25530356,25530357
780,25530356,25530357
781,25131856,25131856
782,25110925,25110925
783,25110925,25110925
784,24994285,24994285
785,24994285,25025321
786,24994285,25025321
787,24994285,25025321
788,24994285,25023042
789,24994285,25018587
790,24994285,25018587
791,24553305,24553305
792,24553305,24553305
793,24553305,24553305
794,24553305,24553305
795,24553305,24599122
796,24553305,24595140
797,24553305,24580981
798,24553305,24580981
799,24553305,24580981
800,24407459,24407459
801,24407459,24407459
802,24401974,24401974
803,24068308,24068308
804,24068308,24068308
805,24005714,24005714
806,24005714,24005714
807,24005714,24005714
808,24005714,24024352
809,24005714,24024352
810,24005714,24024352
811,24005714,24024352
812,24005714,24024352
813,24005714,24024352
814,24005714,24024352
815,23518317,23518317
816,23518317,23529032
817,23518317,23519490
818,23518317,23519490
819,23518317,23519490
820,23518317,23519490
821,23518317,23519490
822,23481149,23481149
823,23480813,23480813
824,23480813,23506690
825,23480813,23506690
826,23480813,23506690
827,23480813,23554026
828,23480813,23554026
829,23480813,23483740
830,23424546,23424546
831,23424546,23462312
832,23424546,23492063
833,23424546,23492063
834,23089730,23089730
835,23022315,23022315
836,23022315,23050567
837,23022315,23050567
838,23022315,23050567
839,23022315,23050567
840,22653881,22653881
841,22653881,22653881
842,22653881,22653881
843,22653881,22653881
844,22653881,22653881
845,22499253,22499253
846,22451766,22451766
847,22451766,22451766
848,22451751,22451751
849,22200698,22200698
850,22200698,22200698
851,22200698,22200698
852,22200160,22200160
853,22200160,22200314
854,22200160,22200314
855,22172063,22172063
856,22172063,22172063
857,21875673,21875673
858,21875673,21929534
859,21875673,21929534
860,21875673,21924154
861,21875673,21924154
862,21875673,21896038
863,21875673,21896038
864,21562810,21562810
865,21491393,21491393
866,21491393,21530780
867,21491393,21664920
868,21491393,21646897
869,21491393,21605272
870,21491393,21605272
871,21491393,21603393
872,21491393,21603393
873,21491393,21603393
874,21491393,21603393
875,21491393,21603393
876,21491393,21603393
877,21491393,21603393
878,21491393,21560468
879,21438582,21438582
880,21438582,21438582
881,21438582,21438582
882,21438582,21438582
883,21438582,21438582
884,21438582,21438582
885,21385730,21385730
886,21385730,21385730
887,21385730,21409765
888,21045583,21045583
889,21045583,21071246
890,21019729,21019729
891,20619981,20619981
892,20619981,20619981
893,20619981,20619981
894,20560043,20560043
895,20560043,20560043
896,20560043,20566473
897,20560043,20632180
898,20560043,20690478
899,20560043,20673042
900,20560043,20673042
901,20560043,20673042
902,20560043,20673042
903,20560043,20673042
904,20560043,20673042
905,20560043,20673042
906,20560043,20642961
907,20560043,20642961
908,20560043,20618926
909,20560043,20618926
910,20560043,20627526
911,20560043,20619811
912,20560043,20619811
913,20420167,20420167
914,19890432,19890432
915,19890432,19890432
916,19890432,19890432
917,19890432,19939617
918,19424916,19424916
919,19424916,19424916
920,19424916,19488323
921,19424916,19488323
922,19424916,19515410
923,19424916,19540340
924,19424916,19550079
925,19424916,19550079
926,19424916,19550079
927,19424916,19550079
928,19424916,19550079
929,19424916,19534422
930,19424916,19534407
931,19424916,19534407
932,19424916,19499734
933,19424916,19534985
934,19424916,19452606
935,19424916,19452606
936,19424916,19452606
937,19424916,19452606
938,19424916,19452606
939,19424916,19452606
940,19424916,19470882
941,19424916,19470882
942,19424916,19470882
943,19409419,19409419
944,19409419,19409419
945,19409419,19409419
946,19409419,19409419
947,19404595,19404595
948,19404595,19416452
949,19404595,19416452
950,19398176,19398176
951,19398176,19398176
952,19398176,19398176
953,19398176,19453547
954,19398176,19453547
955,19398176,19453547
956,19398176,19453547
957,19398176,19529461
958,19398176,19529461
959,19398176,19529461
960,19398176,19522962
961,19398176,19522962
962,19398176,19522962
963,19398176,19522962
964,19398176,19522962
965,19398176,19522962
966,19398176,19522962
967,19398176,19522962
968,19398176,19522962
969,19398176,19515660
970,19398176,19534050
971,19398176,19422713
972,19398176,19422713
973,19155216,19155216
974,19155216,19155216
975,19131181,19131181
976,19131181,19131181
977,19131181,19146617
978,19114193,19114193
979,19114193,19114193
980,19114193,19114193
981,19114193,19114193
982,19114193,19142696
983,19114193,19142696
984,19114193,19142696
985,19114193,19142696
986,19114193,19142696
987,19114193,19142696
988,19114193,19212163
989,19114193,19181951
990,19114193,19181951
991,19114193,19178736
992,19114193,19256354
993,19114193,19256354
994,19114193,19240918
995,19114193,19268068
996,19114193,19268068
997,19114193,19268068
998,19114193,19268068
999,19114193,19268068
1000,19114193,19193826
1001,19114193,19193826
1002,19114193,19193826
1003,19114193,19193826
1004,19114193,19193826
1005,19114193,19231141
1006,19114193,19231141
1007,19114193,19240011
1008,19114193,19240011
1009,19114193,19264046
1010,19114193,19251807
1011,19114193,19251807
1012,19114193,19242646
1013,19114193,19151689
1014,19114193,19151689
1015,19114193,19151689
1016,19114193,19135571
1017,19114193,19135571
1018,19114193,19138899
1019,19114193,19138899
1020,19114193,19133314
1021,19114193,19133314
1022,19114193,19133314
1023,19114193,19150790
1024,19114193,19150790
1025,19114193,19156496
1026,19114193,19156496
1027,19114193,19156496
1028,19114193,19156496
1029,19093226,19093226
1030,19093226,19093226
1031,19093226,19151001
1032,19093226,19206303
1033,19093226,19206303
1034,19093226,19209559
1035,19093226,19209559
1036,19093226,19209559
1037,19093226,19209559
1038,19093226,19209559
1039,19093226,19209559
1040,19093226,19209559
1041,19093226,19224995
1042,19093226,19285161
1043,19093226,19285161
1044,19093226,19285161
1045,19093226,19285161
1046,19093226,19285161
1047,19093226,19285161
1048,19093226,19184228
1049,19093226,19184228
1050,19093226,19244973
1051,19093226,19274731
1052,19093226,19274754
1053,19093226,19273533
1054,19093226,19255009
1055,19093226,19271312
1056,19093226,19254814
1057,19093226,19254814
1058,19093226,19251558
1059,19093226,19244539
1060,19093226,19161588
1061,19093226,19161588
1062,19093226,19145285
1063,19093226,19145285
1064,19087469,19087469
1065,19087469,19087469
1066,19087469,19087469
1067,19087469,19227758
1068,19087469,19227758
1069,19087469,19227758
1070,19087469,19235727
1071,19087469,19310851
1072,19087469,19310851
1073,19087469,19310851
1074,19087469,19310322
1075,19087469,19245839
1076,19087469,19245839
1077,19087469,19185878
1078,19087469,19185878
1079,19087469,19185878
1080,19087469,19185878
1081,19087469,19185878
1082,19087469,19185878
1083,19087469,19185878
1084,19087469,19185878
1085,19087469,19185878
1086,19087469,19185878
1087,19087469,19185878
1088,19087469,19206007
1089,19087469,19206007
1090,19087469,19155737
1091,19087469,19155737
1092,19087469,19155737
1093,19087469,19155737
1094,19087469,19155737
1095,19087469,19127773
1096,19087469,19127773
1097,19087469,19127773
1098,19087469,19236541
1099,19087469,19272222
1100,19087469,19272222
1101,19087469,19233964
1102,19087469,19233964
1103,19087469,19233964
1104,19087469,19264808
1105,19087469,19366891
1106,19087469,19317465
1107,19087469,19317465
1108,19087469,19317465
1109,19087469,19317465
1110,19087469,19317465
1111,19087469,19278031
1112,19087469,23155107
1113,19087469,23155107
1114,19087469,23155107
1115,19087469,23155107
1116,19087469,23155107
1117,19087469,23041465
1118,19087469,23041465
1119,19087469,23041465
1120,19087469,23041465
1121,19087469,23041465
1122,19087469,23041465
1123,19087469,23041465
1124,19087469,23041465
1125,19087469,23041465
1126,19087469,23040546
1127,19087469,23013397
1128,19087469,23003388
1129,19087469,22704505
1130,19087469,22704505
1131,19087469,22629356
1132,19087469,22629356
1133,19087469,22745157
1134,19087469,22745157
1135,19087469,22745157
1136,19087469,22745157
1137,19087469,22421767
1138,19087469,22421767
1139,19087469,22352289
1140,19087469,21939022
1141,19087469,21939022
1142,19087469,21908178
1143,19087469,21853065
1144,19087469,21853065
1145,19087469,21412365
1146,19087469,21412365
1147,19087469,21412365
1148,19087469,21412365
1149,19087469,21412365
1150,19087469,21391188
1151,19087469,21292162
1152,19087469,21292162
1153,19087469,21292162
1154,19087469,21216285
1155,19087469,21216285
1156,19087469,21178314
1157,19087469,21175652
1158,19087469,21175652
1159,19087469,21175652
1160,19087469,21175652
1161,19087469,21175652
1162,19087469,21136464
1163,19087469,21079171
1164,19087469,21093600
1165,19087469,21093600
1166,19087469,21050773
1167,19087469,21037634
1168,19087469,21037634
1169,19087469,21037634
1170,19087469,21037634
1171,19087469,21092459
1172,19087469,21120554
1173,19087469,21120554
1174,19087469,21120554
1175,19087469,21120554
1176,19087469,21120554
1177,19087469,21120554
1178,19087469,21072166
1179,19087469,21072166
1180,19087469,21121532
1181,19087469,21085738
1182,19087469,21085738
1183,19087469,21085738
1184,19087469,21052331
1185,19087469,21052331
1186,19087469,21052331
1187,19087469,20922785
1188,19087469,20922785
1189,19087469,20922785
1190,19087469,20947115
1191,19087469,20945961
1192,19087469,20945961
1193,19087469,20948374
1194,19087469,20918034
1195,19087469,20930421
1196,19087469,20978809
1197,19087469,20978809
1198,19087469,21071787
1199,19087469,21071787
1200,19087469,21050039
1201,19087469,21037652
1202,19087469,21037652
1203,19087469,21010909
1204,19087469,21025272
1205,19087469,21014859
1206,19087469,21014859
1207,19087469,21014859
1208,19087469,20337127
1209,19087469,20337127
1210,19087469,20401114
1211,19087469,20401114
1212,19087469,20401114
1213,19087469,20401114
1214,19087469,20345998
1215,19087469,20345998
1216,19087469,20345998
1217,19087469,20345998
1218,19087469,20345998
1219,19087469,20345998
1220,19087469,20345998
1221,19087469,20345998
1222,19087469,20324520
1223,19087469,20324520
1224,19087469,20324520
1225,19087469,20288697
1226,19087469,20297613
1227,19087469,20267462
1228,19087469,20267462
1229,19087469,20270153
1230,19087469,20175718
1231,19087469,20182153
1232,19087469,20182153
1233,19087469,20182153
1234,19087469,20177803
1235,19087469,20164171
1236,19087469,20164171
1237,19087469,20164171
1238,19087469,20203745
1239,19087469,20074146
1240,19087469,20077320
1241,19087469,20077320
1242,19087469,20077320
1243,19087469,20077320
1244,19087469,20077320
1245,19087469,20077320
1246,19087469,20072117
1247,19087469,20072117
1248,19087469,20072117
1249,19087469,20072117
1250,19087469,20072117
1251,19087469,20072117
1252,19087469,19892160
1253,19087469,19983503
1254,19087469,19933741
1255,19087469,19871475
1256,19087469,19871475
1257,19087469,19846903
1258,19087469,19870303
1259,19087469,19870303
1260,19087469,19851416
1261,19087469,19851416
1262,19087469,19848930
1263,19087469,19835190
1264,19087469,19525864
1265,19087469,19525864
1266,19087469,19577032
1267,19087469,19577032
1268,19087469,19579379
1269,19087469,19600418
1270,19087469,19600418
1271,19087469,19674367
1272,19087469,19674367
1273,19087469,19674367
1274,19087469,19674367
1275,19087469,19724308
1276,19087469,19724308
1277,19087469,19724308
1278,19087469,19724308
1279,19087469,19724308
1280,19087469,19788514
1281,19087469,19746689
1282,19087469,19746689
1283,19087469,19746689
1284,19087469,19746689
1285,19087469,19932637
1286,19087469,19932637
1287,19087469,19932637
1288,19087469,19987245
1289,19087469,19987245
1290,19087469,19987245
1291,19087469,19987245
1292,19087469,20515318
1293,19087469,20515318
1294,19087469,20515318
1295,19087469,20515318
1296,19087469,20392828
1297,19087469,20392828
1298,19087469,20471985
1299,19087469,20471985
1300,19087469,20471985
1301,19087469,20471985
1302,19087469,20471985
1303,19087469,20874939
1304,19087469,20916702
1305,19087469,20916702
1306,19087469,20916702
1307,19087469,20916702
1308,19087469,21098589
1309,19087469,21098589
1310,19087469,21098589
1311,19087469,20963866
1312,19087469,20963866
1313,19087469,20963866
1314,19087469,20988899
1315,19087469,20978442
1316,19087469,20845562
1317,19087469,20844218
1318,19087469,20844218
1319,19087469,20802806
1320,19087469,20798989
1321,19087469,20798989
1322,19087469,20798989
1323,19087469,20798989
1324,19087469,20772570
1325,19087469,20772570
1326,19087469,20772570
1327,19087469,20772570
1328,19087469,20791064
1329,19087469,20791064
1330,19087469,20791064
1331,19087469,20791064
1332,19087469,20791064
1333,19087469,20791064
1334,19087469,20793236
1335,19087469,20762027
1336,19087469,20762027
1337,19087469,20801891
1338,19087469,20801891
1339,19087469,20801891
1340,19087469,20801891
1341,19087469,20801891
1342,19087469,20801891
1343,19087469,20801891
1344,19087469,20795185
1345,19087469,20463260
1346,19087469,20479339
1347,19087469,20479339
1348,19087469,20477807
1349,19087469,20477807
1350,19087469,20477807
1351,19087469,20431733
1352,19087469,20431733
1353,19087469,20431733
1354,19087469,20431733
