iteration,operator_0,operator_1,operator_2,operator_3
784,-28874,0,0,0
785,0,0,0,0
786,0,0,0,0
787,-51101624,0,0,0
788,0,0,0,0
789,0,0,0,-51101624
790,-29782,0,0,0
791,0,0,0,-51071842
792,-51071842,0,0,0
793,0,0,0,0
794,-75679,0,0,0
795,0,0,0,0
796,0,-50996163,0,0
797,0,0,0,0
798,-59709,0,0,0
799,0,0,-50936454,0
800,0,0,-50936454,0
801,0,0,0,0
802,0,0,0,0
803,0,-50936454,0,0
804,0,0,0,0
805,171423,0,0,0
806,0,0,0,0
807,0,-51107877,0,0
808,-90563,0,0,0
809,-51017314,0,0,0
810,0,-51017314,0,0
811,0,-51017314,0,0
812,0,-51017314,0,0
813,0,-51017314,0,0
814,0,0,0,-51017314
815,-158281,0,0,0
816,0,0,0,0
817,0,0,-50859033,0
818,-50859033,0,0,0
819,0,0,-208214,0
820,-50650819,0,0,0
821,0,0,0,0
822,-50650819,0,0,0
823,-50650819,0,0,0
824,0,0,-50650819,0
825,-50650819,0,0,0
826,-50650819,0,0,0
827,-28102,0,0,0
828,0,-50622717,0,0
829,-50622717,0,0,0
830,0,0,-50622717,0
831,0,742452,0,0
832,136805,0,0,0
833,-138122,0,0,0
834,0,0,0,0
835,102947,0,0,0
836,0,0,-51466799,0
837,-51466799,0,0,0
838,0,0,0,0
839,143487,0,0,0
840,0,-51610286,0,0
841,18753,0,0,0
842,0,0,0,0
843,-191796,0,0,0
844,-4002,0,0,0
845,595199,0,0,0
846,-49168,0,0,0
847,-51979272,0,0,0
848,-51979272,0,0,0
849,0,0,0,0
850,0,-51979272,0,0
851,-38657,0,0,0
852,-110523,0,0,0
853,0,-51830092,0,0
854,-51830092,0,0,0
855,0,-33277,0,0
856,-13933,0,0,0
857,0,-199700,0,0
858,0,0,0,0
859,0,0,0,0
860,0,0,0,0
861,-108527,0,0,0
862,0,0,0,0
863,0,0,0,0
864,-2206,0,0,0
865,72561,0,0,0
866,23267,0,0,0
867,0,-51568277,0,0
868,10109,0,0,0
869,0,-195369,0,0
870,-51383017,0,0,0
871,0,-51383017,0,0
872,0,0,-51383017,0
873,0,0,-51383017,0
874,-7772,0,0,0
875,0,0,0,0
876,-4776,0,0,0
877,0,0,0,0
878,-51476,0,0,0
879,147420,0,0,0
880,0,-51466413,0,0
881,-51466413,0,0,0
882,-51466413,0,0,0
883,0,-51466413,0,0
884,0,0,0,0
885,148030,0,0,0
886,0,0,0,0
887,0,0,0,-51614443
888,0,-56978,0,0
889,703574,0,0,0
890,0,0,-52261039,0
891,0,0,0,0
892,0,-52261039,0,0
893,-99729,0,0,0
894,104639,0,0,0
895,-113417,0,0,0
896,0,0,0,0
897,159067,0,0,0
898,221886,0,0,0
899,33125,0,0,0
900,-78775,0,0,0
901,0,0,0,0
902,-52487835,0,0,0
903,0,0,0,0
904,-52487835,0,0,0
905,-9968,0,0,0
906,0,0,-52477867,0
907,0,0,0,0
908,-52477867,0,0,0
909,0,0,-52477867,0
910,0,1712,0,0
911,0,0,0,0
912,0,-52479579,0,0
913,0,175411,0,0
914,0,-52654990,0,0
915,0,-52654990,0,0
916,0,0,-52654990,0
917,0,-52654990,0,0
918,22119,0,0,0
919,-40172,0,0,0
920,-52636937,0,0,0
921,147221,0,0,0
922,0,0,0,0
923,-10456,0,0,0
924,0,0,-52773702,0
925,-52773702,0,0,0
926,0,0,-52773702,0
927,0,0,0,0
928,0,0,0,0
929,0,0,0,-52773702
930,-1796,0,0,0
931,0,-52771906,0,0
932,0,-52771906,0,0
933,-477312,0,0,0
934,0,-230266,0,0
935,0,-52064328,0,0
936,0,-52064328,0,0
937,0,-52064328,0,0
938,0,0,0,0
939,0,20639,0,0
940,-120539,0,0,0
941,0,-51964428,0,0
942,0,0,0,0
943,0,-51964428,0,0
944,100057,0,0,0
945,-52064485,0,0,0
946,0,0,0,0
947,0,-52064485,0,0
948,0,-52064485,0,0
949,0,-52064485,0,0
950,0,0,-52064485,0
951,-56236,0,0,0
952,0,0,0,0
953,0,-52008249,0,0
954,0,0,0,-52008249
955,-52008249,0,0,0
956,0,0,0,0
957,-52008249,0,0,0
958,0,-52008249,0,0
959,0,-52008249,0,0
960,0,0,0,0
961,0,-52008249,0,0
962,-52008249,0,0,0
