iteration,operator_0,operator_1,operator_2
1153,0,0,0
1154,0,0,0
1155,0,0,0
1156,0,0,0
1157,0,0,0
1158,0,0,0
1159,0,0,0
1160,0,0,0
1161,0,0,0
1162,0,0,0
1163,0,0,0
1164,0,0,0
1165,0,0,0
1166,0,0,0
1167,0,169605,0
1168,0,290548,0
1169,0,-260424,0
1170,0,0,0
1171,90819,0,0
1172,0,-70622,0
1173,0,-90819,0
1174,0,0,0
1175,0,0,0
1176,90819,0,0
1177,0,0,0
1178,0,0,0
1179,0,0,0
1180,0,0,0
1181,0,0,0
1182,0,936260,0
1183,0,0,0
1184,0,0,0
1185,0,0,0
1186,0,0,0
1187,0,0,0
1188,0,0,-15286
1189,114732,0,0
1190,0,0,0
1191,0,0,0
1192,0,0,0
1193,0,216090,0
1194,48299,0,0
1195,0,-830858,0
1196,0,0,0
1197,0,0,0
1198,0,0,-2239
1199,0,0,0
1200,0,0,0
1201,-18477,0,0
1202,-8732,0,0
1203,0,0,-56492
1204,104518,0,0
1205,0,0,0
1206,0,0,0
1207,0,0,0
1208,0,0,-8983
1209,0,0,0
1210,0,0,0
1211,49963,0,0
1212,63484,0,0
1213,0,0,-9092
1214,0,56130,0
1215,0,0,-113667
1216,-109378,0,0
1217,0,0,0
1218,0,0,0
1219,0,0,0
1220,0,0,0
1221,0,-259426,0
1222,-14655,0,0
1223,0,0,0
1224,501390,0,0
1225,0,0,0
1226,0,0,0
1227,0,0,0
1228,-22664,0,0
1229,0,40237,0
1230,0,0,0
1231,0,0,0
1232,0,-5268,0
1233,0,0,0
1234,0,0,0
1235,0,0,0
1236,0,0,0
1237,0,0,0
1238,0,0,0
1239,0,-390228,0
1240,0,0,0
1241,0,0,0
1242,0,0,0
1243,0,0,0
1244,0,425122,0
1245,0,0,0
1246,0,0,0
1247,0,0,0
1248,0,-37,0
1249,0,0,0
1250,0,-1,0
1251,0,0,0
1252,-15348,0,0
1253,0,0,0
1254,0,0,0
1255,0,0,0
1256,-134289,0,0
1257,25697,0,0
1258,0,0,0
1259,0,0,0
1260,0,0,0
1261,0,0,0
1262,0,0,0
1263,0,0,0
1264,0,0,0
1265,3198,0,0
1266,0,0,0
1267,0,0,0
1268,0,0,0
1269,-40237,0,0
1270,0,0,0
1271,0,0,0
1272,0,0,0
1273,0,-506480,0
1274,0,0,0
1275,0,0,0
1276,0,0,0
1277,0,0,0
1278,0,0,0
1279,90370,0,0
1280,0,0,0
1281,0,0,0
1282,0,0,0
1283,0,0,0
1284,0,0,0
1285,-209361,0,0
1286,0,0,-56060
1287,0,0,0
1288,0,0,0
1289,0,294508,0
1290,0,-597621,0
1291,0,0,-37003
1292,0,0,0
1293,0,-192089,0
1294,0,0,0
1295,-18965,0,0
1296,103801,0,0
1297,0,0,0
1298,0,0,0
1299,0,0,0
1300,0,-896023,0
1301,0,0,-10735
1302,0,-21236,0
1303,-40237,0,0
1304,0,0,0
1305,0,0,0
1306,-2289,0,0
1307,0,0,-9385
1308,0,-211143,0
1309,0,-520198,0
1310,0,0,0
1311,-96946,0,0
1312,57570,0,0
1313,-160402,0,0
1314,36275,0,0
1315,0,0,0
1316,0,0,0
1317,0,0,0
1318,-100990,0,0
1319,0,0,0
1320,0,0,0
1321,-187069,0,0
1322,0,-20842,0
1323,0,-15144,0
1324,0,-56334,0
1325,0,-385817,0
1326,-54243,0,0
1327,0,0,0
1328,0,-390610,0
1329,-84288,0,0
1330,0,0,-11887
1331,0,0,0
1332,0,0,-23967
1333,-13044,0,0
1334,0,0,-31013
1335,0,0,-42337
1336,0,0,0
1337,0,-321859,0
1338,0,0,-84361
1339,0,0,0
1340,0,-9135,0
1341,0,-612201,0
1342,0,0,-28420
1343,0,-896023,0
1344,0,0,0
1345,-106516,0,0
1346,0,0,0
1347,0,0,0
1348,-86915,0,0
1349,0,0,0
1350,0,0,0
1351,0,0,0
1352,0,0,0
1353,-40237,0,0
1354,0,23168,0
1355,-174821,0,0
1356,0,-469428,0
1357,0,0,0
1358,0,0,0
1359,0,0,0
1360,0,0,0
1361,0,0,0
1362,0,0,0
1363,0,0,0
1364,0,0,0
1365,0,0,0
1366,0,-296129,0
1367,0,0,0
1368,-24512,0,0
1369,0,0,0
1370,0,0,0
1371,0,0,0
1372,0,0,0
1373,0,0,0
1374,-14913,0,0
1375,0,0,-18511
1376,0,0,0
1377,0,-275443,0
1378,380395,0,0
1379,-220418,0,0
1380,97285,0,0
1381,0,-478817,0
1382,0,0,0
1383,-6555,0,0
1384,0,0,-67016
1385,0,0,0
1386,0,0,0
1387,0,0,-49556
1388,0,0,0
1389,0,0,-52639
1390,0,-390229,0
1391,0,-299966,0
1392,0,0,0
1393,0,-335970,0
1394,73462,0,0
1395,0,0,0
1396,0,-146825,0
1397,0,-506210,0
1398,0,0,0
1399,69817,0,0
1400,-36430,0,0
1401,0,0,0
1402,0,0,0
1403,0,0,0
1404,0,0,-74269
1405,0,-416434,0
1406,-4379,0,0
1407,0,-516065,0
1408,11,0,0
1409,0,-443016,0
1410,0,0,0
1411,0,0,0
1412,0,0,0
1413,0,-49476,0
1414,95735,0,0
1415,0,0,-42180
1416,0,0,-98748
1417,0,0,0
1418,0,0,-79928
1419,0,0,0
1420,0,0,0
1421,42267,0,0
1422,0,0,0
1423,0,-33626,0
1424,0,-480050,0
1425,0,0,0
1426,43413,0,0
1427,-97287,0,0
1428,0,-126009,0
1429,0,91774,0
1430,-90113,0,0
1431,2560,0,0
1432,0,-227090,0
1433,-22277,0,0
1434,-2560,0,0
1435,0,0,0
1436,646,0,0
1437,0,0,0
1438,0,0,0
1439,0,178620,0
1440,0,-951732,0
1441,0,0,0
1442,0,0,0
1443,-23489,0,0
1444,0,0,0
1445,0,0,0
1446,0,0,0
1447,0,0,0
1448,0,-497493,0
1449,0,0,0
1450,0,0,0
1451,50210,0,0
1452,0,0,0
1453,0,0,0
1454,0,0,0
1455,0,0,0
1456,-91774,0,0
1457,0,0,0
1458,0,0,0
1459,-5181,0,0
1460,0,0,0
1461,0,-727775,0
1462,-222082,0,0
1463,-102396,0,0
1464,0,0,-19675
1465,0,-40316,0
1466,0,0,0
1467,0,0,0
1468,0,34821,0
1469,-162472,0,0
1470,0,-220378,0
1471,0,0,0
1472,0,-319775,0
1473,0,0,0
1474,0,0,0
1475,0,0,0
1476,0,-3188,0
1477,21473,0,0
1478,0,0,-20907
1479,0,-28099,0
1480,-133506,0,0
1481,0,-168745,0
1482,95776,0,0
1483,0,0,-136273
1484,0,0,0
1485,-20485,0,0
1486,0,0,0
1487,0,-33626,0
1488,0,0,-68445
1489,0,0,-21284
1490,76970,0,0
1491,-83716,0,0
1492,-2560,0,0
1493,0,0,-12420
1494,131382,0,0
1495,0,-64550,0
1496,175311,0,0
1497,0,0,0
1498,0,0,0
1499,0,0,0
1500,-63119,0,0
1501,0,0,0
1502,-31777,0,0
1503,0,0,0
1504,0,0,-33626
1505,0,373870,0
1506,-37775,0,0
1507,-14246,0,0
1508,0,0,0
1509,0,-364899,0
1510,0,0,0
1511,0,0,0
1512,0,0,0
1513,0,0,0
1514,21570,0,0
1515,0,-47948,0
1516,0,0,0
1517,0,0,0
1518,0,0,0
1519,-15442,0,0
1520,0,0,-4770
1521,0,0,0
1522,0,-227714,0
1523,0,-65706,0
1524,0,-15466,0
1525,0,0,0
1526,0,0,0
1527,0,0,0
1528,0,159710,0
1529,0,0,0
1530,0,0,0
1531,0,0,0
1532,0,-194800,0
1533,0,0,0
1534,0,0,0
1535,99417,0,0
1536,0,0,0
1537,0,0,-39427
1538,-257384,0,0
1539,0,0,-9485
1540,0,0,0
1541,0,11664,0
1542,0,0,0
1543,0,0,0
1544,0,0,0
1545,-42907,0,0
1546,0,0,0
1547,0,0,-62936
1548,0,0,0
1549,0,0,0
1550,356893,0,0
1551,0,0,-7733
1552,0,0,-14543
1553,-62924,0,0
1554,0,0,0
1555,0,-386223,0
1556,-27484,0,0
1557,0,0,-18656
